seed,winner,our_placement,our_ships,heuristic_ships,opponent_ships_sum,planets_100,planets_300,planets_500,avg_idle_ships,sun_losses,oob_losses,total_steps
0,1,2,0,5832,5832,2,0,0,23.348837209302324,0,0,290
1576566668,3,3,163,288,6178,7,5,4,113.56,0,0,500
749729973,0,1,27994,16,16,17,31,31,10528.154,0,0,500
1009547534,3,3,0,163,7303,2,1,0,60.52620087336245,0,0,500
1502729423,1,2,0,2991,2991,5,0,0,53.199074074074076,0,0,289
12345,1,2,0,4612,4612,0,0,0,70.93258426966293,0,0,155
54321,1,2,0,8641,8641,8,0,0,182.48425196850394,0,0,360
99999,1,2,0,5722,5722,7,0,0,132.81756756756758,0,0,177
88888,1,2,0,6217,6217,10,4,0,747.2070063694267,0,0,344
77777,1,2,0,5632,5632,9,0,0,187.9121951219512,0,0,255
